Genotype,File,Batch,Replicate,t1,t2,t3,t4,t5,t6,t7,t8,t9,t10,t11,t12,t13,t14,t15,t16,t17,t18,t19,t20,t21,t22,t23,t24,t25,t26,t27,t28,t29,t30,t31,t32,t33,t34,t35,t36,t37,t38,t39,t40,t41,t42,t43,t44,t45,t46,t47,t48,t49,t50,t51,t52,t53,t54,t55,t56,t57,t58,t59,t60,t61,Solar.month,Solar.day,Lunar.cycle,Lunar.day,Hour,Minute
B73,S2_B73-5Aug_B8_B7_B6_B5_A4_A3_A2.csv,S2,B6,-0.073395894,-0.466628288,0.773149249,-0.371385513,-0.253058269,0.322626805,2.305123801,3.023383693,5.273560842,6.934508194,10.22672369,12.9620242,15.65263401,20.82472402,24.15532768,27.73516799,31.8266596,35.03808805,38.2357655,42.62175742,45.68765458,49.85936029,52.93213295,55.97969546,57.09180654,58.43596553,59.62198816,60.50434317,60.10900229,62.28624191,62.05705879,63.05973493,63.40350961,63.12276029,63.7186364,63.7702026,63.83895753,63.09984198,63.26027016,63.21443354,62.4180222,62.15446162,61.55858551,61.35805028,60.83665869,60.91687278,61.12886716,59.34123884,60.15483891,60.07462482,59.11205572,59.90846706,60.16056849,59.47874871,58.64795991,59.77095719,60.74498544,61.08303054,60.61893472,61.55285593,62.90503633,S8,S5,L8,L11,13,0
B73,S2_B73-5Aug_B8_B7_B6_B5_A4_A3_A2.csv,S2,B5,-3.719756598,-3.982228563,-6.540886189,-6.100854603,-7.527519512,-8.698645246,-9.548914614,-9.599907857,-9.203421063,-9.708196881,-7.922287433,-7.200933569,-5.405856797,-2.488871366,-1.009723522,2.617557687,4.605205574,7.899369121,10.16942791,13.49086424,16.10813545,17.97655082,21.1318294,23.00368252,25.94524784,28.47542946,31.0285294,32.60588221,33.3770834,35.51937259,38.71074751,39.42522588,39.83030704,41.34176971,41.58986043,44.36870574,44.14639811,46.52818367,45.89907601,47.37730712,47.15958316,45.65098528,46.07210926,45.21324553,46.09903828,44.35438179,45.38570583,45.08261115,43.59979638,44.10571811,42.7741642,43.72813892,42.21151964,42.35475909,43.87882682,42.75754842,43.76366231,42.70197151,43.52588482,42.3003281,43.54479243,S8,S5,L8,L11,13,0
B73,S2_B73-5Aug_B8_B7_B6_B5_A4_A3_A2.csv,S2,A4,6.201122217,6.217165035,7.257083433,6.030380794,6.069341924,6.745432122,6.344934623,5.451406942,7.551010782,7.682218117,7.019305948,7.831187144,9.057889783,10.08233832,11.74792663,11.9180951,12.21603315,14.43166094,16.86615862,18.99011316,20.31822933,22.5464622,23.69925328,24.42175306,27.33581641,28.07550492,32.06672892,32.08620949,34.87422212,35.91356756,36.96036145,39.79306479,39.53809857,41.32515393,41.44719394,42.97928309,44.45522237,45.97986306,45.81657009,47.35839951,48.12043338,49.70981831,49.58376759,50.69759754,53.15787832,52.92468449,53.62942258,53.5681161,56.52687015,56.25013154,56.94398343,58.55055708,59.4558304,58.56201624,60.95125025,61.46118268,60.36110372,61.98830386,60.56736852,60.52726148,61.83933483,S8,S5,L8,L11,13,0
B73,S2_B73-5Aug_B8_B7_B6_B5_A4_A3_A2.csv,S2,A3,6.988366227,5.807500211,5.253392728,4.72621426,4.904117656,3.904879261,2.685453186,3.497105198,3.936334644,6.082519953,8.561708333,9.964881973,13.53727383,16.58254451,18.73514694,22.90685265,25.87763882,30.55354738,35.47468189,39.20005347,44.23119587,49.30473714,54.21555841,57.24421331,62.68158279,65.58074923,69.10443967,72.08382021,73.02347099,75.04028243,75.04601201,74.58191619,71.94631033,72.11819767,72.3187329,73.32713862,73.281302,73.39016398,73.51621469,72.63385969,72.54791602,72.77136956,70.45662007,70.03836088,69.41956646,67.99290155,65.21405624,63.30037721,61.71901369,59.78814592,58.48753173,57.26942345,53.7485978,52.37693684,49.98254622,48.61776075,47.47413699,48.06829422,49.43193377,50.30913216,50.00030791,S8,S5,L8,L11,13,0
B73,S2_B73-5Aug_B8_B7_B6_B5_A4_A3_A2.csv,S2,A2,-2.461999646,-3.847984552,-2.252640867,-3.292215491,-1.813010351,-2.499012719,-0.80449004,-0.953630954,-0.882584188,1.059513555,2.702756511,4.877818893,7.800820381,9.859457739,13.27772394,16.10240587,18.48648326,22.68110728,25.57282527,30.49395977,34.03827669,38.51766074,42.37423965,46.23024562,49.96077382,54.7994024,57.74841617,60.58455726,65.52918303,67.34545924,68.58877766,71.774423,73.39589356,73.18962875,73.99176966,74.6850486,74.83401762,75.23508808,76.57007974,78.93066586,79.56664901,81.66940412,81.27406324,82.86115633,84.61440718,86.06971998,85.92648054,86.12128619,87.19271726,86.86613132,86.98072288,85.06131427,84.30500998,82.14495909,80.43181528,78.426463,76.50705438,74.82828804,71.82025962,68.86952697,67.48296911,S8,S5,L8,L11,13,0
B73,S2_B73-5July_B8_B7_A8_A6_A3_A2_A1.csv,S2,B8,-0.178505001,-2.009592171,-3.496589536,-3.284595152,-4.592485911,-5.234198642,-5.510822665,-3.198135821,-1.337455381,0.7629506,1.589614107,5.582385094,9.606210393,12.21889794,16.43300252,19.17174078,23.16525661,26.6883741,30.76554177,33.34213297,36.91509778,40.27091159,41.34406154,45.21209961,46.21993238,46.99858202,50.08739749,50.25183638,49.53678505,53.7554733,52.48809065,51.36108267,51.85669116,54.55818717,52.99401239,54.99707284,57.06373161,56.95773441,56.88210398,56.05876363,55.76770107,54.23160122,53.55150032,51.27685788,50.54920148,50.17334116,50.92047813,49.99343241,50.91589446,50.84427474,49.84962001,49.60553999,50.97834686,50.43002625,43.90231809,43.12596028,43.71438794,42.89563125,43.83871978,42.27053429,41.22030266,S7,S5,L7,L9,13,0
B73,S2_B73-5July_B8_B7_A8_A6_A3_A2_A1.csv,S2,B7,4.251174953,5.438859166,3.79235035,4.040269188,3.662460818,4.451595589,4.42443739,5.322204959,5.786873731,6.669228735,7.518352188,8.735887502,7.995053073,9.142687537,10.7314995,11.76969903,12.56267262,13.85411949,15.92364304,16.73724311,19.19236726,21.25157758,23.00597435,25.61407823,27.00006314,29.36752475,31.42157844,32.07704216,35.17387904,36.39026844,38.78064836,38.7760647,40.84386938,41.71992185,42.274545,43.90117218,45.54326922,44.92218297,47.02837582,47.37673416,47.50736854,47.39334994,47.0083223,48.5518706,49.09446163,49.83185832,50.21058342,50.43632879,50.85859868,50.52399133,50.49477048,51.23331308,50.8637553,50.59962176,50.74228825,50.609935,49.67715971,49.62158281,49.415318,49.43537152,49.33052025,S7,S5,L7,L9,13,0
B73,S2_B73-5July_B8_B7_A8_A6_A3_A2_A1.csv,S2,A8,10.34074229,12.44235148,13.09495041,15.35183116,17.36692373,18.92021231,20.32625074,22.59344474,23.90379921,26.07702813,28.41125819,31.11390011,32.96627266,36.14790729,38.61105286,41.77893651,44.0827998,47.18364739,51.06486349,53.66494597,56.12751857,59.49020787,62.16019119,63.73582513,65.7698253,64.80152663,64.83017452,63.55247864,63.55247864,60.17202764,60.24078258,59.37561631,59.77668677,59.51312618,58.85995429,60.56163895,59.39853462,60.93406151,61.47837142,62.62428701,64.09105896,64.2629463,66.80114933,66.17089576,66.7839606,68.42834947,67.70069307,67.55172405,68.26792129,67.28816346,66.60634368,65.68961121,64.65828718,63.25454058,62.51542503,61.91381934,60.37256287,59.79960508,58.42450637,57.6109063,58.21251199,S7,S5,L7,L9,13,0
B73,S2_B73-5July_B8_B7_A8_A6_A3_A2_A1.csv,S2,A6,4.777837758,5.050622964,5.808646127,5.487388691,6.042412907,6.855440019,8.478056495,10.88276036,12.51569008,15.92307008,18.40913396,21.58904972,24.1713705,26.98917694,29.83505831,31.37746069,33.73059836,36.60226283,37.57571812,40.18840567,41.6242379,43.30816086,45.23501793,47.92677365,49.01997712,49.76081155,50.69645163,50.45179865,49.80034564,51.09637617,50.1063051,49.80550226,50.18422736,49.50240758,49.54251463,49.04461431,49.43193377,48.88705091,48.9523681,49.12253657,47.28849866,47.555497,46.19185744,44.68612436,44.53314463,43.78486175,43.59750455,44.5606466,45.06255763,45.99074926,45.62004556,46.87654201,47.8093173,50.24095018,50.59847585,52.61471433,52.41761685,53.28106424,53.89985866,55.21651567,54.79309986,S7,S5,L7,L9,13,0
B73,S2_B73-5July_B8_B7_A8_A6_A3_A2_A1.csv,S2,A3,2.544505568,1.861826355,2.463947702,2.797237252,3.303560055,2.698230145,2.650388169,2.81883776,4.676653411,5.352743609,6.557501965,7.383707106,9.652619975,11.89689566,14.73704745,16.34362111,17.71929277,21.92079228,23.36006227,26.23344561,27.86236462,31.26687984,35.13549087,38.011739,39.76269802,42.77129941,45.98845743,47.40595501,50.98923306,52.63534081,53.9617381,55.61758613,55.74650164,57.45047812,57.81144153,59.12924446,59.25529517,59.17508108,58.31564439,59.98868115,59.62771774,59.83398255,59.81106423,58.94589796,60.2866192,59.67355436,59.7423093,60.65331219,60.2866192,59.89127833,60.04024735,59.49020787,57.97186971,58.10365,57.34734571,57.03966738,58.08646127,57.43901896,56.48447128,57.28030965,56.12293491,S7,S5,L7,L9,13,0
